arrStationName,arrTime,dptDate,dptStationName,dptTime,interval,seats,trainNo
香港西九龙,14:41,2019-02-07,广州南,13:49,52分,"{'商务座': {'price': 452, 'count': 2, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6519
香港西九龙,15:16,2019-02-07,广州南,14:20,56分,"{'商务座': {'price': 452, 'count': 5, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6527
香港西九龙,16:22,2019-02-07,广州南,15:25,57分,"{'商务座': {'price': 452, 'count': 2, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6543
香港西九龙,16:50,2019-02-07,广州南,15:51,59分,"{'商务座': {'price': 452, 'count': 4, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6511
香港西九龙,16:55,2019-02-07,广州南,16:02,53分,"{'商务座': {'price': 645, 'count': 9, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 344, 'count': 14, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}}",G311
香港西九龙,17:16,2019-02-07,广州南,16:12,1小时4分,"{'商务座': {'price': 452, 'count': 3, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6521
香港西九龙,18:08,2019-02-07,广州南,16:52,1小时16分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6551
香港西九龙,18:42,2019-02-07,广州南,17:43,59分,"{'二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6585
香港西九龙,18:58,2019-02-07,广州南,18:06,52分,"{'商务座': {'price': 645, 'count': 7, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 8, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '一等座': {'price': 344, 'count': 2, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}}",G79
香港西九龙,19:31,2019-02-07,广州南,18:27,1小时4分,"{'商务座': {'price': 452, 'count': 12, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6529
香港西九龙,19:41,2019-02-07,广州南,18:37,1小时4分,"{'商务座': {'price': 452, 'count': 10, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6513
香港西九龙,20:08,2019-02-07,广州南,19:04,1小时4分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6545
香港西九龙,21:34,2019-02-07,广州南,20:25,1小时9分,"{'二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6587
香港西九龙,22:29,2019-02-07,广州南,21:37,52分,"{'商务座': {'price': 645, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 344, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G99
香港西九龙,07:43,2019-02-08,广州南,06:48,55分,"{'商务座': {'price': 432, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6501
香港西九龙,09:14,2019-02-08,广州南,08:05,1小时9分,"{'商务座': {'price': 432, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6547
香港西九龙,11:53,2019-02-08,广州南,10:53,1小时,"{'商务座': {'price': 432, 'count': 3, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6517
香港西九龙,13:29,2019-02-08,广州南,12:13,1小时16分,"{'商务座': {'price': 432, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6541
香港西九龙,15:46,2019-02-08,广州南,15:00,46分,"{'商务座': {'price': 432, 'count': 4, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6535
香港西九龙,18:22,2019-02-08,广州南,17:35,47分,"{'商务座': {'price': 432, 'count': 12, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6537
香港西九龙,08:29,2019-02-08,广州南,07:23,1小时6分,"{'商务座': {'price': 452, 'count': 16, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6505
香港西九龙,08:56,2019-02-08,广州南,07:55,1小时1分,"{'商务座': {'price': 452, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6515
香港西九龙,09:29,2019-02-08,广州南,08:30,59分,"{'商务座': {'price': 452, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6523
香港西九龙,10:14,2019-02-08,广州南,08:56,1小时18分,"{'商务座': {'price': 452, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6531
香港西九龙,10:22,2019-02-08,广州南,09:22,1小时,"{'商务座': {'price': 452, 'count': 6, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6539
香港西九龙,10:57,2019-02-08,广州南,09:49,1小时8分,"{'二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6581
香港西九龙,10:47,2019-02-08,广州南,10:00,47分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6503
香港西九龙,11:21,2019-02-08,广州南,10:28,53分,"{'商务座': {'price': 452, 'count': 11, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 19, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6507
香港西九龙,11:26,2019-02-08,广州南,10:33,53分,"{'商务座': {'price': 645, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 344, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6113
香港西九龙,12:10,2019-02-08,广州南,11:13,57分,"{'商务座': {'price': 452, 'count': 7, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6525
香港西九龙,12:28,2019-02-08,广州南,11:23,1小时5分,"{'商务座': {'price': 452, 'count': 10, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6549
香港西九龙,13:04,2019-02-08,广州南,11:55,1小时9分,"{'商务座': {'price': 452, 'count': 4, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6533
香港西九龙,13:18,2019-02-08,广州南,12:26,52分,"{'二等座': {'price': 215, 'count': 11, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6583
香港西九龙,14:11,2019-02-08,广州南,13:10,1小时1分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6509
香港西九龙,14:41,2019-02-08,广州南,13:49,52分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6519
香港西九龙,15:16,2019-02-08,广州南,14:20,56分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6527
香港西九龙,16:22,2019-02-08,广州南,15:25,57分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6543
香港西九龙,16:50,2019-02-08,广州南,15:51,59分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6511
香港西九龙,16:55,2019-02-08,广州南,16:02,53分,"{'商务座': {'price': 645, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 344, 'count': 2, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}}",G311
香港西九龙,17:16,2019-02-08,广州南,16:12,1小时4分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6521
香港西九龙,18:08,2019-02-08,广州南,16:52,1小时16分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6551
香港西九龙,18:42,2019-02-08,广州南,17:43,59分,"{'二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6585
香港西九龙,18:58,2019-02-08,广州南,18:06,52分,"{'商务座': {'price': 645, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 344, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G79
香港西九龙,19:31,2019-02-08,广州南,18:27,1小时4分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6529
香港西九龙,19:41,2019-02-08,广州南,18:37,1小时4分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6513
香港西九龙,20:08,2019-02-08,广州南,19:04,1小时4分,"{'商务座': {'price': 452, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6545
香港西九龙,21:34,2019-02-08,广州南,20:25,1小时9分,"{'二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6587
香港西九龙,22:29,2019-02-08,广州南,21:37,52分,"{'商务座': {'price': 645, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 344, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G99
